x,y,z,theta,dist_l,conf_l,dist_r,conf_r
3352248.73999, 5074567.91617, 185.163103443, -3.10355046903, 2.5, -1, 2.5, -1
3352248.71296, 5074567.90336, 185.163029517, -3.10345216943, 2.5, -1, 2.5, -1
3352248.68586, 5074567.89057, 185.162944608, -3.10342171509, 2.5, -1, 2.5, -1
3352248.68586, 5074567.89057, 185.162944608, -3.10342171509, 2.5, -1, 2.5, -1
3352248.63152, 5074567.86497, 185.162814809, -3.10334151884, 2.5, -1, 2.5, -1
3352248.60429, 5074567.85215, 185.162705021, -3.10329963027, 2.5, -1, 2.5, -1
3352248.57703, 5074567.83929, 185.162638368, -3.10326387849, 2.5, -1, 2.5, -1
3352248.54983, 5074567.82634, 185.162380463, -3.10322886551, 2.5, -1, 2.5, -1
3352248.52243, 5074567.81349, 185.162445242, -3.10318691439, 2.5, -1, 2.5, -1
3352248.49509, 5074567.80054, 185.162337475, -3.10314890715, 2.5, -1, 2.5, -1
3352248.46774, 5074567.78756, 185.162256813, -3.1031189831, 2.5, -1, 2.5, -1
3352248.44036, 5074567.77454, 185.162190878, -3.10309913758, 2.5, -1, 2.5, -1
3352248.41296, 5074567.76151, 185.162122488, -3.10308167367, 2.5, -1, 2.5, -1
3352248.38554, 5074567.74845, 185.162067462, -3.10307955411, 2.5, -1, 2.5, -1
3352248.35807, 5074567.7354, 185.162021701, -3.10308045809, 2.5, -1, 2.5, -1
3352248.33065, 5074567.72227, 185.161829801, -3.10309065143, 2.5, -1, 2.5, -1
3352248.33065, 5074567.72227, 185.161829801, -3.10309065143, 2.5, -1, 2.5, -1
3352248.27543, 5074567.69622, 185.161884458, -3.10314197073, 2.5, -1, 2.5, -1
3352248.24779, 5074567.68315, 185.161815744, -3.1031924339, 2.5, -1, 2.5, -1
3352248.24779, 5074567.68315, 185.161815744, -3.1031924339, 2.5, -1, 2.5, -1
3352248.19236, 5074567.65699, 185.161654516, -3.10329638162, 2.5, -1, 2.5, -1
3352248.16458, 5074567.64387, 185.161542156, -3.10334447924, 2.5, -1, 2.5, -1
3352248.13675, 5074567.63073, 185.161422865, -3.10340254014, 2.5, -1, 2.5, -1
3352248.10889, 5074567.61755, 185.161257558, -3.10345441921, 2.5, -1, 2.5, -1
3352248.08098, 5074567.60434, 185.161064516, -3.10349856604, 2.5, -1, 2.5, -1
3352248.05313, 5074567.59103, 185.160712084, -3.10353648082, 2.5, -1, 2.5, -1
3352248.02508, 5074567.57782, 185.160657342, -3.10356252492, 2.5, -1, 2.5, -1
3352247.9691, 5074567.55114, 185.160160288, -3.10360107368, 2.5, -1, 2.5, -1
3352247.9691, 5074567.55114, 185.160160288, -3.10360107368, 2.5, -1, 2.5, -1
3352247.94117, 5074567.53768, 185.159742802, -3.10360988703, 2.5, -1, 2.5, -1
3352247.91305, 5074567.52434, 185.159627117, -3.10361439684, 2.5, -1, 2.5, -1
3352247.88499, 5074567.5109, 185.159367005, -3.10360809588, 2.5, -1, 2.5, -1
3352247.85699, 5074567.49737, 185.158928916, -3.10360796094, 2.5, -1, 2.5, -1
3352247.82879, 5074567.48397, 185.158825012, -3.10360865678, 2.5, -1, 2.5, -1
3352247.80063, 5074567.47047, 185.158520656, -3.10359548937, 2.5, -1, 2.5, -1
3352247.77243, 5074567.45696, 185.158220405, -3.10358231455, 2.5, -1, 2.5, -1
3352247.74418, 5074567.44345, 185.157903261, -3.10359219546, 2.5, -1, 2.5, -1
3352247.71589, 5074567.42992, 185.157588094, -3.10360089669, 2.5, -1, 2.5, -1
3352247.71589, 5074567.42992, 185.157588094, -3.10360089669, 2.5, -1, 2.5, -1
3352247.68763, 5074567.41631, 185.157113864, -3.10362628082, 2.5, -1, 2.5, -1
3352247.63079, 5074567.38919, 185.156443848, -3.10369169944, 2.5, -1, 2.5, -1
3352247.60232, 5074567.37562, 185.156114281, -3.10373863579, 2.5, -1, 2.5, -1
3352247.57372, 5074567.36209, 185.155942588, -3.10378765907, 2.5, -1, 2.5, -1
3352247.54517, 5074567.34848, 185.155624555, -3.10384881808, 2.5, -1, 2.5, -1
3352247.51667, 5074567.33476, 185.155180031, -3.10391464565, 2.5, -1, 2.5, -1
3352247.48807, 5074567.3211, 185.154881803, -3.10397503876, 2.5, -1, 2.5, -1
3352247.45936, 5074567.30749, 185.154740035, -3.10403845654, 2.5, -1, 2.5, -1
3352247.43072, 5074567.2938, 185.154435969, -3.10410618247, 2.5, -1, 2.5, -1
